timestamp,sus_score,grade,adjective,q1_response,q2_response,q3_response,q4_response,q5_response,q6_response,q7_response,q8_response,q9_response,q10_response
25-09-2025 01:23,77.5,B,Excellent,3,2,4,2,5,3,4,2,5,1
25-09-2025 01:25,40,F,Poor,1,3,2,5,2,4,2,3,5,1
25-09-2025 01:27,100,A,Best Imaginable,5,1,5,1,5,1,5,1,5,1
25-09-2025 01:28,57.5,D,OK,4,2,3,4,3,4,3,3,4,1
25-09-2025 11:09,92.5,A,Best Imaginable,5,2,5,1,4,1,5,2,5,1
02-10-2025 00:12,72.5,B,Excellent,5,2,4,2,3,2,4,3,4,2
22-11-2025 19:43,62.5,C,Good,5,3,4,3,4,3,4,2,3,4
04-12-2025 18:57,85,A,Best Imaginable,4,2,5,1,4,2,4,1,5,2
